연도,주차,연령대,예방접종률
2021,38,7-13세,0.0
2021,39,7-13세,0.1
2021,40,7-13세,0.2
2021,41,7-13세,0.2
2021,42,7-13세,12.3
2021,43,7-13세,31.1
2021,44,7-13세,43.9
2021,45,7-13세,52.2
2021,46,7-13세,57.1
2021,47,7-13세,61.6
2021,48,7-13세,64.2
2021,49,7-13세,65.8
2021,50,7-13세,67.2
2021,51,7-13세,68.0
2021,52,7-13세,68.3
2021,53,7-13세,68.3
2022,1,7-13세,68.6
2022,2,7-13세,68.9
2022,3,7-13세,69.0
2022,4,7-13세,69.1
2022,5,7-13세,69.2
2022,6,7-13세,69.2
2022,7,7-13세,69.3
2022,8,7-13세,69.3
2022,9,7-13세,69.3
2022,10,7-13세,69.4
2022,11,7-13세,69.4
2022,12,7-13세,69.4
2022,13,7-13세,69.4
2022,14,7-13세,69.4
2022,15,7-13세,69.4
2022,16,7-13세,69.4
2022,17,7-13세,69.4
2022,18,7-13세,69.4
2021,38,6개월-13세,0.8
2021,39,6개월-13세,1.2
2021,40,6개월-13세,1.9
2021,41,6개월-13세,2.3
2021,42,6개월-13세,14.2
2021,43,6개월-13세,32.8
2021,44,6개월-13세,45.5
2021,45,6개월-13세,54.1
2021,46,6개월-13세,59.3
2021,47,6개월-13세,64.0
2021,48,6개월-13세,66.9
2021,49,6개월-13세,68.7
2021,50,6개월-13세,70.2
2021,51,6개월-13세,71.2
2021,52,6개월-13세,71.7
2021,53,6개월-13세,71.7
2022,1,6개월-13세,72.2
2022,2,6개월-13세,72.6
2022,3,6개월-13세,72.8
2022,4,6개월-13세,73.0
2022,5,6개월-13세,73.2
2022,6,6개월-13세,73.2
2022,7,6개월-13세,73.4
2022,8,6개월-13세,73.5
2022,9,6개월-13세,73.6
2022,10,6개월-13세,73.6
2022,11,6개월-13세,73.6
2022,12,6개월-13세,73.6
2022,13,6개월-13세,73.6
2022,14,6개월-13세,73.7
2022,15,6개월-13세,73.7
2022,16,6개월-13세,73.7
2022,17,6개월-13세,73.8
2022,18,6개월-13세,73.8
2021,38,6개월-6세,1.8
2021,39,6개월-6세,2.7
2021,40,6개월-6세,4.2
2021,41,6개월-6세,5.2
2021,42,6개월-6세,17.0
2021,43,6개월-6세,35.2
2021,44,6개월-6세,47.7
2021,45,6개월-6세,56.7
2021,46,6개월-6세,62.5
2021,47,6개월-6세,67.4
2021,48,6개월-6세,70.6
2021,49,6개월-6세,72.6
2021,50,6개월-6세,74.5
2021,51,6개월-6세,75.6
2021,52,6개월-6세,76.3
2021,53,6개월-6세,76.3
2022,1,6개월-6세,77.1
2022,2,6개월-6세,77.7
2022,3,6개월-6세,78.1
2022,4,6개월-6세,78.4
2022,5,6개월-6세,78.7
2022,6,6개월-6세,78.8
2022,7,6개월-6세,79.1
2022,8,6개월-6세,79.3
2022,9,6개월-6세,79.5
2022,10,6개월-6세,79.6
2022,11,6개월-6세,79.6
2022,12,6개월-6세,79.6
2022,13,6개월-6세,79.6
2022,14,6개월-6세,79.6
2022,15,6개월-6세,79.6
2022,16,6개월-6세,79.6
2022,17,6개월-6세,79.6
2022,18,6개월-6세,79.6
